COUNTY_CODE,Registered_Offender_Count
1,272
2,75
3,336
4,104
5,14
6,5
7,213
8,70
9,20
10,79
11,309
12,14
13,160
14,940
15,4148
16,27
17,1
18,86
19,322
20,626
21,297
22,24
23,8
24,31
25,214
26,124
27,123
28,236
29,83
30,85
31,833
32,48
33,16
34,149
35,30
36,111
37,197
38,19
39,29
40,10
41,9
42,61
43,623
44,8
45,72
46,210
47,46
48,17
49,77
50,229
51,8
52,15
53,10
54,36
55,5
56,36
57,6230
58,61
59,100
60,27
61,573
62,79
63,7
64,38
65,25
66,57
67,92
68,499
69,11
70,389
71,1527
72,63
73,97
74,206
75,89
76,14
77,22
78,2
79,661
80,34
81,98
82,62
83,41
84,730
85,27
86,54
87,2
88,35
89,70
90,70
91,378
92,383
93,124
94,293
95,149
96,15
97,57
98,6
99,12
100,200
101,9685
102,219
103,3
104,27
105,340
106,7
107,373
108,1695
109,282
110,75
111,185
112,117
113,105
114,134
115,17
116,354
117,68
118,4
119,35
120,89
121,160
122,9
123,1062
124,13
125,141
126,566
127,93
128,59
129,329
130,33
131,4
132,1
133,155
134,16
136,6
137,144
138,23
139,200
140,444
141,83
142,39
143,69
144,46
145,52
146,379
147,150
148,6
149,47
150,79
151,3
152,779
153,31
154,44
155,820
157,45
158,59
159,33
160,9
161,108
162,55
163,150
164,11
165,600
166,136
167,21
168,37
169,89
170,973
171,40
172,58
173,3
174,214
175,214
176,45
177,71
178,1269
179,20
180,4
181,355
182,113
183,69
184,404
185,20
186,79
187,289
188,616
189,7
190,54
191,296
192,19
193,22
194,127
195,53
196,31
198,89
199,66
200,74
201,198
202,49
203,31
204,156
205,205
206,9
207,16
208,77
209,19
210,102
211,4
212,654
213,29
214,90
215,24
216,4
217,7
218,14
219,40
220,4563
221,610
222,4
223,59
224,4
225,83
226,444
227,1725
228,95
229,100
230,179
231,25
232,102
233,119
234,191
235,271
236,372
237,144
238,42
239,78
240,265
241,155
242,19
243,339
244,46
245,70
246,527
247,120
248,37
249,249
250,188
251,18
252,69
253,14
254,38
