COUNTY_CODE,OFFENSE_TYPE_ID,INCIDENT_COUNT
 101,8,20
 101,15,36
 101,30,335
 101,36,116
 101,55,1
 101,56,24
 105,4,1
 105,36,6
 105,56,4
 123,36,2
 123,56,1
 126,3,1
 126,36,3
 126,56,1
 15,8,1
 15,30,48
 15,36,1
 15,56,2
 182,36,2
 188,4,9
 188,8,3
 188,30,1
 188,36,20
 188,43,1
 188,56,9
 199,3,1
 199,8,1
 199,36,5
 199,56,2
 20,8,6
 20,36,2
 20,56,4
 205,8,1
 220,3,6
 220,8,8
 220,15,2
 220,30,20
 220,36,92
 220,43,1
 220,55,2
 220,56,25
 220,61,19
 221,8,32
 221,15,4
 227,4,12
 227,8,10
 227,30,32
 227,36,60
 227,43,1
 227,55,1
 227,56,32
 246,3,3
 246,36,2
 246,56,2
 4,8,1
 43,3,5
 43,4,5
 43,8,11
 43,15,4
 43,30,383
 43,36,72
 43,43,13
 43,56,27
 43,61,43
 46,3,1
 46,8,2
 46,30,2
 46,36,1
 46,43,1
 46,56,1
 56,36,1
 56,43,1
 57,3,4
 57,4,4
 57,8,14
 57,15,4
 57,30,388
 57,36,113
 57,43,9
 57,56,48
 57,61,43
 61,3,6
 61,4,3
 61,8,9
 61,15,2
 61,30,20
 61,36,89
 61,43,2
 61,55,2
 61,56,22
 61,61,19
 68,36,1
 79,3,1
 79,8,13
 79,15,38
 79,30,338
 79,36,113
 79,55,1
 79,56,20
 84,8,1
 84,30,1
 84,36,3
 84,56,2
 84,61,1
 92,3,2
 92,4,1
 92,30,1
 92,36,3
 92,43,2
 92,56,4
100,8,1
100,56,2
101,3,2
101,4,2
101,8,13
101,15,6
101,30,18
101,36,33
101,56,8
101,61,1
102,30,1
102,36,4
102,43,2
102,56,4
103,36,1
103,43,1
105,8,1
105,30,1
105,36,1
105,61,1
108,3,1
108,8,3
108,36,22
108,43,1
108,56,4
109,4,1
109,8,1
109,36,1
109,43,1
109,55,1
11,8,1
110,8,1
110,36,3
112,3,4
112,4,1
112,8,9
112,30,1
112,36,9
112,56,9
114,36,1
114,56,2
116,3,1
116,36,1
116,56,2
117,36,1
117,43,1
119,56,1
12,36,2
120,36,1
121,8,2
123,30,21
123,36,1
123,43,2
126,36,2
126,56,3
127,8,32
127,15,4
129,3,3
129,4,4
129,8,6
129,36,35
129,43,5
129,56,16
130,3,1
130,8,1
130,36,5
130,56,1
133,36,5
133,56,1
139,8,1
139,36,5
139,56,2
14,3,3
14,4,1
14,8,5
14,30,9
14,36,11
14,43,2
14,56,11
14,61,13
141,8,2
141,36,1
141,56,1
144,8,1
144,36,1
144,56,1
146,36,2
147,4,1
147,36,1
147,56,4
15,8,1
15,36,2
15,43,1
15,56,2
150,55,1
152,8,4
152,15,31
152,30,32
152,36,3
154,36,1
155,3,1
155,8,2
155,15,11
155,30,5
155,33,2
155,36,27
155,43,3
155,55,1
155,56,8
163,8,1
163,30,48
163,36,3
163,43,1
163,56,2
165,36,1
166,3,1
166,8,1
166,36,1
170,4,1
170,8,23
170,15,36
170,30,336
170,36,116
170,43,5
170,55,1
170,56,21
171,56,1
172,36,1
174,3,1
174,30,1
174,36,10
174,43,1
174,55,1
174,56,2
175,8,1
175,30,1
175,36,8
175,56,1
176,36,1
178,8,2
178,15,26
178,30,36
178,36,6
178,43,1
178,56,14
181,36,2
181,56,1
184,3,8
184,8,6
184,15,2
184,30,20
184,36,86
184,43,1
184,55,2
184,56,19
184,61,19
187,3,1
187,4,4
187,8,1
187,36,9
187,43,1
187,56,4
19,4,1
19,36,2
191,4,9
191,8,4
191,30,1
191,36,21
191,43,1
191,56,9
198,36,3
199,8,4
199,36,9
199,43,1
199,56,6
2,3,1
2,36,2
2,56,2
20,36,3
201,3,2
201,4,1
201,8,1
201,36,9
201,56,1
203,8,1
203,43,2
205,8,3
205,36,1
21,3,1
21,4,1
21,8,4
21,15,1
21,30,1
21,36,5
210,36,2
210,56,2
212,3,6
212,8,2
212,36,6
212,56,1
214,8,1
214,56,1
218,3,1
220,4,4
220,8,7
220,30,6
220,36,20
220,43,3
220,56,14
225,36,3
225,56,1
226,3,3
226,33,1
226,36,11
226,43,1
227,3,3
227,8,4
227,36,8
227,43,1
227,56,5
230,56,1
235,30,3
235,36,2
236,3,2
236,8,2
236,36,4
236,43,1
236,56,8
238,3,1
238,4,1
239,30,1
239,43,1
240,3,2
240,8,9
240,15,1
240,30,4
240,36,15
240,43,1
240,56,16
241,8,1
241,36,1
241,43,1
241,56,1
243,4,1
243,36,1
243,43,2
243,61,1
244,4,1
244,55,1
245,36,2
246,3,2
246,4,16
246,8,11
246,30,32
246,36,67
246,43,3
246,55,1
246,56,32
247,36,1
247,43,1
247,56,1
248,36,1
249,4,1
249,8,4
249,30,1
249,36,1
249,56,1
25,3,1
25,4,2
25,8,1
25,36,3
252,8,1
252,43,1
254,36,1
26,3,1
27,3,1
27,4,1
27,8,1
27,36,2
27,43,1
27,56,1
28,3,1
28,4,1
28,36,7
28,56,5
29,8,2
29,36,6
29,56,2
3,36,9
31,3,1
31,4,3
31,8,2
31,36,21
31,43,3
31,56,19
32,3,1
32,4,1
32,36,2
32,56,2
34,36,2
36,3,3
36,4,1
36,8,5
36,15,1
36,36,3
36,56,1
37,36,2
37,56,4
4,3,2
4,56,1
43,3,1
43,4,3
43,8,22
43,30,15
43,36,49
43,43,2
43,56,20
49,4,1
49,36,2
49,43,1
50,3,1
50,8,2
50,56,2
57,3,4
57,4,3
57,8,11
57,36,28
57,43,4
57,56,7
61,3,4
61,4,7
61,8,17
61,15,4
61,30,383
61,36,83
61,43,13
61,56,34
61,61,43
62,36,1
62,56,1
65,36,1
66,43,1
67,36,2
67,56,3
7,56,2
70,3,1
70,8,3
70,36,15
70,56,8
71,3,1
71,8,4
71,36,31
71,43,2
71,56,5
72,36,3
77,36,1
79,4,2
79,8,7
79,30,1
79,36,21
79,56,9
81,3,3
81,8,2
84,30,1
84,36,22
84,56,4
90,30,2
90,36,2
90,56,1
91,4,1
91,8,1
91,36,2
92,8,2
93,36,1
94,3,1
94,8,2
94,30,2
94,36,2
94,43,1
94,56,2
97,3,1
